Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"AWILCO DRILLING";NO0012785098;AWDR;"Euronext Growth Oslo";NOK;5.00;5.00;4.60;4.70;"02/11/2023 15:02";CET;13462;62977.40;4.70;02/11/2023
"AWILCO LNG";NO0010607971;ALNG;"Euronext Expand Oslo";NOK;8.49;8.49;8.35;8.47;"02/11/2023 16:25";CET;122996;1034787.44;8.47;02/11/2023
AXACTOR;NO0010840515;ACR;"Oslo Børs";NOK;5.35;5.38;5.15;5.16;"02/11/2023 16:25";CET;482918;2510946.72;5.16;02/11/2023
"AYFIE GROUP";NO0012861683;AYFIE;"Euronext Growth Oslo";NOK;7.80;7.80;7.15;7.40;"02/11/2023 16:01";CET;10609;77096.80;7.40;02/11/2023
"B2 Impact";NO0010633951;B2I;"Oslo Børs";NOK;7.20;7.43;7.20;7.30;"02/11/2023 16:25";CET;321769;2360189.71;7.30;02/11/2023
BAKKAFROST;FO0000000179;BAKKA;"Oslo Børs";NOK;513.00;519.00;507.50;511.00;"02/11/2023 16:25";CET;123964;63710180.00;511.00;02/11/2023
"BALTIC SEA PROP";NO0010810476;BALT;"Euronext Growth Oslo";NOK;47.00;47.80;47.00;47.80;"06/10/2023 15:50";CET;503;23643.40;47.80;02/11/2023
"BARRAMUNDI GROUP";SGXZ33675836;BARRA;"Euronext Growth Oslo";NOK;2.50;2.50;2.50;2.50;"16/10/2023 09:00";CET;310;775.00;2.50;02/11/2023
BEERENBERG;NO0013017574;BBERG;"Euronext Growth Oslo";NOK;16.50;16.60;16.00;16.10;"02/11/2023 16:55";CET;1404118;22757169.25;16.10;02/11/2023
BELSHIPS;NO0003094104;BELCO;"Oslo Børs";NOK;17.54;18.10;17.54;18.02;"02/11/2023 16:25";CET;293309;5233693.28;18.02;02/11/2023
"BENCHMARK HOLDINGS";GB00BGHPT808;BMK;"Euronext Growth Oslo";NOK;5.05;5.50;5.05;5.50;"19/10/2023 15:45";CET;1920;9876.00;5.50;02/11/2023
"BERGEN CARBON SOL";NO0010950249;BCS;"Euronext Growth Oslo";NOK;10.30;10.50;9.05;10.10;"02/11/2023 16:25";CET;295691;2913066.84;10.10;02/11/2023
BERGENBIO;NO0010650013;BGBIO;"Oslo Børs";NOK;0.20;0.208;0.181;0.2055;"02/11/2023 16:25";CET;96475385;18834266.78;0.2055;02/11/2023
"BerGenBio TR";NO0012921495;BGBIS;"Oslo Børs";NOK;0.061;0.0757;0.056;0.0747;"02/11/2023 16:19";CET;12322472;818078.50;0.0747;02/11/2023
BEWI;NO0010890965;BEWI;"Oslo Børs";NOK;21.00;22.90;21.00;22.35;"02/11/2023 16:25";CET;436338;9618318.55;22.35;02/11/2023
"BIEN SPAREBANK";NO0012706763;BIEN;"Oslo Børs";NOK;86.40;86.40;86.40;86.40;"01/11/2023 14:52";CET;66;5702.40;86.40;02/11/2023
"BIOFISH HOLDING";NO0010955198;BFISH;"Euronext Growth Oslo";NOK;1.07;1.14;1.06;1.13;"02/11/2023 14:47";CET;43056;46950.54;1.13;02/11/2023
"BLACK SEA PROPERTY";NO0010755101;BSP;"Euronext Growth Oslo";NOK;0.268;0.27;0.262;0.262;"02/11/2023 14:00";CET;41953;11208.26;0.262;02/11/2023
BLUENORD;NO0010379266;BNOR;"Oslo Børs";NOK;586.00;591.00;578.00;582.00;"02/11/2023 16:25";CET;14723;8565237.00;582.00;02/11/2023
BONHEUR;NO0003110603;BONHR;"Oslo Børs";NOK;199.00;199.00;192.20;197.60;"02/11/2023 16:25";CET;16919;3312075.40;197.60;02/11/2023
BORGESTAD;NO0003111700;BOR;"Oslo Børs";NOK;1.54;1.54;1.54;1.54;"02/11/2023 10:57";CET;500;770.00;1.54;02/11/2023
"BORR DRILLING";BMG1466R1732;BORR;"Oslo Børs";NOK;70.00;71.75;69.70;71.55;"02/11/2023 16:25";CET;370312;26225501.70;71.55;02/11/2023
BORREGAARD;NO0010657505;BRG;"Oslo Børs";NOK;154.00;159.00;154.00;158.60;"02/11/2023 16:25";CET;72561;11423322.60;158.60;02/11/2023
BOUVET;NO0010360266;BOUV;"Oslo Børs";NOK;53.00;55.00;53.00;54.80;"02/11/2023 16:25";CET;9366;511385.70;54.80;02/11/2023
"BW ENERGY LIMITED";BMG0702P1086;BWE;"Oslo Børs";NOK;27.90;28.00;27.70;27.95;"02/11/2023 16:25";CET;174076;4857376.15;27.95;02/11/2023
"BW Epic Kosan";SGXZ80461361;BWEK;"Euronext Growth Oslo";NOK;23.80;23.80;23.80;23.80;"02/11/2023 12:29";CET;2030;48314.00;23.80;02/11/2023
"BW IDEOL";NO0010947385;BWIDL;"Euronext Growth Oslo";NOK;8.14;8.26;7.94;8.26;"02/11/2023 13:34";CET;28020;226607.72;8.26;02/11/2023
"BW LPG";BMG173841013;BWLPG;"Oslo Børs";NOK;169.50;172.80;165.90;172.10;"02/11/2023 16:29";CET;593049;100497211.30;172.10;02/11/2023
"BW OFFSHORE LTD";BMG1738J1247;BWO;"Oslo Børs";NOK;23.80;23.82;23.54;23.70;"02/11/2023 16:25";CET;115293;2732667.82;23.70;02/11/2023
BYGGMA;NO0003087603;BMA;"Oslo Børs";NOK;16.90;18.00;16.20;18.00;"02/11/2023 15:46";CET;19232;323944.00;18.00;02/11/2023
CADELER;DK0061412772;CADLR;"Oslo Børs";NOK;34.22;35.66;34.22;35.40;"02/11/2023 16:25";CET;145326;5108554.86;35.40;02/11/2023
CAMBI;NO0010078850;CAMBI;"Euronext Growth Oslo";NOK;14.75;14.75;14.10;14.30;"02/11/2023 16:26";CET;113446;1641722.10;14.30;02/11/2023
"CAPSOL TECHNOLOGI";NO0010923121;CAPSL;"Euronext Growth Oslo";NOK;13.15;13.50;12.25;13.50;"02/11/2023 16:25";CET;21246;269980.15;13.50;02/11/2023
CARASENT;NO0010123060;CARA;"Oslo Børs";NOK;12.86;13.68;12.86;13.30;"02/11/2023 16:14";CET;28632;380433.82;13.30;02/11/2023
"CIRCA GROUP";NO0010917594;CIRCA;"Euronext Growth Oslo";NOK;3.74;3.87;3.70;3.77;"02/11/2023 16:25";CET;72457;270393.55;3.77;02/11/2023
"CIRCIO HOLDING";NO0013033795;CRNA;"Oslo Børs";NOK;6.20;6.80;6.20;6.80;"02/11/2023 16:25";CET;12550;81709.55;6.80;02/11/2023
"CLEAN SEAS SEAFOOD";AU000000CSS3;CSS;"Euronext Growth Oslo";NOK;2.70;2.70;2.70;2.70;"02/11/2023 09:00";CET;200;540.00;2.70;02/11/2023
"CLOUDBERRY CLEAN";NO0010876642;CLOUD;"Oslo Børs";NOK;10.90;10.90;10.80;10.90;"02/11/2023 16:25";CET;185520;2016096.24;10.90;02/11/2023
"CODELAB CAPITAL";NO0010895667;CODE;"Euronext Growth Oslo";NOK;0.644;0.644;0.60;0.624;"02/11/2023 13:31";CET;35681;22955.69;0.624;02/11/2023
CONTEXTVISION;SE0014731154;CONTX;"Oslo Børs";NOK;7.22;7.26;7.06;7.18;"02/11/2023 16:25";CET;8146;58198.22;7.18;02/11/2023
"COOL COMPANY";BMG2415A1137;CLCO;"Euronext Growth Oslo";NOK;148.40;150.40;146.80;150.00;"02/11/2023 16:25";CET;161651;24095456.85;150.00;02/11/2023
"CRAYON GROUP HOLD";NO0010808892;CRAYN;"Oslo Børs";NOK;64.35;67.25;63.85;64.00;"02/11/2023 16:25";CET;607772;39647462.75;64.00;02/11/2023
CYVIZ;NO0010015175;CYVIZ;"Euronext Growth Oslo";NOK;31.70;32.00;30.80;32.00;"02/11/2023 16:13";CET;17599;559878.50;32.00;02/11/2023
"DEEP VALUE DRILLER";NO0010955917;DVD;"Euronext Growth Oslo";NOK;25.05;25.40;24.15;25.15;"02/11/2023 16:25";CET;165407;4159152.95;25.15;02/11/2023
"DESERT CONTROL";NO0010963275;DSRT;"Euronext Growth Oslo";NOK;7.10;7.19;6.90;7.03;"02/11/2023 16:25";CET;38478;271695.43;7.03;02/11/2023
"DNB BANK";NO0010161896;DNB;"Oslo Børs";NOK;199.90;200.40;196.70;199.40;"02/11/2023 16:29";CET;1907620;378910710.05;199.40;02/11/2023
DNO;NO0003921009;DNO;"Oslo Børs";NOK;11.25;11.39;11.25;11.37;"02/11/2023 16:27";CET;1295614;14694486.43;11.37;02/11/2023
"DOF GROUP";NO0012851874;DOFG;"Oslo Børs";NOK;52.75;53.89;52.50;53.64;"02/11/2023 16:25";CET;898205;48020439.88;53.64;02/11/2023
"DOLPHIN DRILLING";NO0012595950;DDRIL;"Euronext Growth Oslo";NOK;10.20;10.26;10.02;10.02;"02/11/2023 16:25";CET;107319;1090832.56;10.02;02/11/2023
"EAM SOLAR";NO0010607781;EAM;"Euronext Expand Oslo";NOK;8.86;9.78;8.80;9.64;"02/11/2023 16:25";CET;15653;143167.16;9.64;02/11/2023
"ECIT AS B-AKSJER";NO0010939804;ECIT;"Euronext Growth Oslo";NOK;7.80;7.94;7.60;7.94;"02/11/2023 16:25";CET;25671;199940.26;7.94;02/11/2023
"EDDA WIND";NO0010998529;EWIND;"Oslo Børs";NOK;22.95;23.20;22.85;22.85;"02/11/2023 16:25";CET;22576;519387.60;22.85;02/11/2023
"EIDESVIK OFFSHORE";NO0010263023;EIOF;"Oslo Børs";NOK;14.80;15.00;14.74;14.90;"02/11/2023 16:25";CET;278344;4156414.58;14.90;02/11/2023
"ELECTROMAGNET GEO";NO0010358484;EMGS;"Oslo Børs";NOK;2.20;2.25;2.15;2.15;"02/11/2023 15:30";CET;337266;737295.33;2.15;02/11/2023
ELEKTROIMPORTØREN;NO0010911902;ELIMP;"Euronext Growth Oslo";NOK;13.35;13.35;12.10;12.40;"02/11/2023 16:25";CET;47631;595775.05;12.40;02/11/2023
ELKEM;NO0010816093;ELK;"Oslo Børs";NOK;17.56;18.06;17.51;17.93;"02/11/2023 16:25";CET;978491;17463784.96;17.93;02/11/2023
"ELLIPTIC LABORATOR";NO0010722283;ELABS;"Oslo Børs";NOK;17.30;17.64;17.00;17.62;"02/11/2023 16:25";CET;101029;1753080.40;17.62;02/11/2023
"ELMERA GROUP";NO0010815673;ELMRA;"Oslo Børs";NOK;22.48;23.58;21.40;23.00;"02/11/2023 16:25";CET;484555;11015437.70;23.00;02/11/2023
ELOPAK;NO0011002586;ELO;"Oslo Børs";NOK;22.80;25.55;22.80;25.00;"02/11/2023 16:25";CET;547206;13524939.60;25.00;02/11/2023
ENDÚR;NO0012555459;ENDUR;"Oslo Børs";NOK;39.80;39.90;38.90;39.90;"02/11/2023 16:25";CET;2273;90148.80;39.90;02/11/2023
ENERGEIA;NO0012697715;ENERG;"Euronext Growth Oslo";NOK;1.10;1.20;1.10;1.20;"02/11/2023 16:05";CET;20000;23704.30;1.20;02/11/2023
"ENSURGE MICROPOWER";NO0012450008;ENSU;"Oslo Børs";NOK;0.1024;0.104;0.10;0.1022;"02/11/2023 16:25";CET;19694362;1996105.24;0.1022;02/11/2023
ENTRA;NO0010716418;ENTRA;"Oslo Børs";NOK;87.90;93.30;87.55;92.10;"02/11/2023 16:29";CET;336340;30850520.00;92.10;02/11/2023
"ENVIPCO HOLDING";NL0015000GX8;ENVIP;"Euronext Growth Oslo";NOK;28.20;28.20;26.20;26.20;"02/11/2023 16:25";CET;16;439.20;26.20;02/11/2023
EQUINOR;NO0010096985;EQNR;"Oslo Børs";NOK;373.95;374.70;368.10;374.70;"02/11/2023 16:38";CET;2455726;915234378.48;374.70;02/11/2023
EQVA;NO0010708605;EQVA;"Oslo Børs";NOK;2.69;2.69;2.26;2.50;"02/11/2023 14:41";CET;17833;42862.34;2.50;02/11/2023
EUROPRIS;NO0010735343;EPR;"Oslo Børs";NOK;62.10;64.30;61.95;63.10;"02/11/2023 16:28";CET;297675;18785187.40;63.10;02/11/2023
EVERFUEL;DK0061414711;EFUEL;"Euronext Growth Oslo";NOK;6.50;6.86;6.49;6.66;"02/11/2023 16:25";CET;58554;389616.37;6.66;02/11/2023
"EXACT THERAPEUTICS";NO0010852213;EXTX;"Euronext Growth Oslo";NOK;12.40;12.40;12.40;12.40;"01/11/2023 16:18";CET;1145;14198.00;12.40;02/11/2023
"FLEX LNG";BMG359472021;FLNG;"Oslo Børs";NOK;343.00;349.60;340.20;349.40;"02/11/2023 16:25";CET;35044;12138657.60;349.40;02/11/2023
FRONTLINE;CY0200352116;FRO;"Oslo Børs";NOK;254.95;256.20;248.45;254.05;"02/11/2023 16:29";CET;1072402;271478458.50;254.05;02/11/2023
"GAMING INNOVATION";US36467X2062;GIG;"Oslo Børs";NOK;27.00;28.15;26.95;27.40;"02/11/2023 16:25";CET;39224;1077641.15;27.40;02/11/2023
"GC RIEBER SHIPPING";NO0010262686;RISH;"Oslo Børs";NOK;5.50;5.50;5.04;5.24;"02/11/2023 16:25";CET;45266;238357.18;5.24;02/11/2023
"GENTIAN DIAGNOSTIC";NO0010748866;GENT;"Oslo Børs";NOK;37.90;38.90;37.90;38.60;"02/11/2023 16:25";CET;2666;101712.60;38.60;02/11/2023
"GIGANTE SALMON";NO0011013765;GIGA;"Euronext Growth Oslo";NOK;7.14;7.26;7.14;7.26;"02/11/2023 15:16";CET;6506;46920.38;7.26;02/11/2023
"GJENSIDIGE FORSIKR";NO0010582521;GJF;"Oslo Børs";NOK;169.20;169.80;166.90;166.90;"02/11/2023 16:25";CET;297768;49830415.10;166.90;02/11/2023
"GOLDEN ENERGY OFF";NO0010813843;GEOS;"Euronext Growth Oslo";NOK;1.272;1.29;1.27;1.29;"02/11/2023 16:25";CET;879958;1123254.49;1.29;02/11/2023
"GOLDEN OCEAN GROUP";BMG396372051;GOGL;"Oslo Børs";NOK;80.66;82.96;80.20;82.24;"02/11/2023 16:25";CET;649567;53207757.00;82.24;02/11/2023
GOODTECH;NO0004913609;GOD;"Oslo Børs";NOK;10.30;10.40;10.30;10.35;"02/11/2023 15:23";CET;30823;319568.05;10.35;02/11/2023
"GRAM CAR CARRIERS";NO0011109563;GCC;"Oslo Børs";NOK;205.50;208.50;205.50;208.50;"02/11/2023 16:25";CET;37429;7758303.00;208.50;02/11/2023
"GREEN MINERALS";NO0010907744;GEM;"Euronext Growth Oslo";NOK;4.04;4.46;4.01;4.46;"02/11/2023 16:25";CET;11362;47838.48;4.46;02/11/2023
"GRIEG SEAFOOD";NO0010365521;GSF;"Oslo Børs";NOK;73.05;75.00;72.90;74.75;"02/11/2023 16:25";CET;180579;13422513.70;74.75;02/11/2023
"GRONG SPAREBANK";NO0010636491;GRONG;"Euronext Growth Oslo";NOK;140.00;142.00;140.00;142.00;"31/10/2023 14:02";CET;150;21010.00;142.00;02/11/2023
GYLDENDAL;NO0004288200;GYL;"Oslo Børs";NOK;550.00;550.00;550.00;550.00;"01/11/2023 14:15";CET;1;550.00;550.00;02/11/2023
"HAFNIA LIMITED";BMG4233B1090;HAFNI;"Oslo Børs";NOK;74.70;75.15;73.50;74.30;"02/11/2023 16:26";CET;574569;42676450.40;74.30;02/11/2023
"HAV GROUP";NO0010931918;HAV;"Euronext Growth Oslo";NOK;8.92;9.48;8.92;9.18;"02/11/2023 16:25";CET;32024;296077.74;9.18;02/11/2023
"HAVILA KYSTRUTEN";NO0011045429;HKY;"Euronext Growth Oslo";NOK;0.80;0.804;0.77;0.788;"02/11/2023 16:25";CET;2773020;2173675.98;0.788;02/11/2023
"HAVILA SHIPPING";NO0010257728;HAVI;"Oslo Børs";NOK;6.20;7.00;6.18;6.47;"02/11/2023 16:25";CET;457490;3017265.70;6.47;02/11/2023
"HEXAGON COMPOSITES";NO0003067902;HEX;"Oslo Børs";NOK;25.10;27.20;25.10;26.70;"02/11/2023 16:25";CET;146233;3896037.06;26.70;02/11/2023
"HEXAGON PURUS";NO0010904923;HPUR;"Oslo Børs";NOK;10.10;11.30;10.10;10.90;"02/11/2023 16:25";CET;534349;5843242.34;10.90;02/11/2023
"HIMALAYA SHIPPING";BMG4660A1036;HSHP;"Euronext Expand Oslo";NOK;50.40;51.00;48.70;50.00;"02/11/2023 16:26";CET;81865;4089283.20;50.00;02/11/2023
"HOFSETH BIOCARE";NO0010598683;HBC;"Oslo Børs";NOK;2.89;2.89;2.70;2.85;"02/11/2023 16:25";CET;21187;58093.37;2.85;02/11/2023
"HORISONT ENERGI";NO0010917339;HRGI;"Euronext Growth Oslo";NOK;4.90;5.20;4.78;4.88;"02/11/2023 15:59";CET;68108;340383.78;4.88;02/11/2023
"HUDDLESTOCK FINTEC";NO0010859648;HUDL;"Euronext Growth Oslo";NOK;1.475;1.50;1.40;1.50;"02/11/2023 15:55";CET;452733;664799.46;1.50;02/11/2023
HUDDLY;NO0010776990;HDLY;"Euronext Growth Oslo";NOK;0.75;0.90;0.70;0.83;"02/11/2023 16:25";CET;130211;97136.91;0.83;02/11/2023
"HUNTER GROUP";NO0012953720;HUNT;"Euronext Expand Oslo";NOK;0.98;0.98;0.8502;0.8502;"02/11/2023 16:25";CET;112956;101999.19;0.8502;02/11/2023
HYDROGENPRO;NO0010892359;HYPRO;"Oslo Børs";NOK;14.62;14.62;14.00;14.30;"02/11/2023 16:25";CET;143234;2078156.00;14.30;02/11/2023
HYNION;NO0010920945;HYN;"Euronext Growth Oslo";NOK;0.267;0.267;0.241;0.263;"02/11/2023 16:05";CET;215598;55851.00;0.263;02/11/2023
HYON;NO0011204158;HYON;"Euronext Growth Oslo";NOK;0.22;0.295;0.22;0.286;"02/11/2023 16:25";CET;617698;156009.03;0.286;02/11/2023
"HÖEGH AUTOLINERS";NO0011082075;HAUTO;"Oslo Børs";NOK;91.95;92.50;90.00;91.15;"02/11/2023 16:30";CET;619894;56455683.15;91.15;02/11/2023
"HØLAND OG SETSKOG";NO0010012636;HSPG;"Oslo Børs";NOK;126.00;127.00;126.00;127.00;"02/11/2023 13:23";CET;310;39300.00;127.00;02/11/2023
"ICE FISH FARM";NO0010884794;IFISH;"Euronext Growth Oslo";NOK;27.00;27.00;27.00;27.00;"02/11/2023 10:12";CET;10;270.00;27.00;02/11/2023
"ICELANDIC SALMON";NO0010724701;ISLAX;"Euronext Growth Oslo";NOK;158.00;160.00;158.00;158.00;"02/11/2023 16:16";CET;1007;159238.00;158.00;02/11/2023
"IDEX BIOMETRICS";NO0003070609;IDEX;"Oslo Børs";NOK;0.4195;0.4275;0.379;0.42;"02/11/2023 16:25";CET;6523483;2714550.75;0.42;02/11/2023
INDUCT;NO0010536048;INDCT;"Euronext Growth Oslo";NOK;5.00;5.00;5.00;5.00;"24/10/2023 09:53";CET;2200;11000.00;5.00;02/11/2023
"INIFY LABORATORIES";SE0017486103;INIFY;"Euronext Growth Oslo";NOK;13.30;13.40;13.25;13.40;"02/11/2023 15:23";CET;665;8844.10;13.40;02/11/2023
"ININ GROUP";NO0010864036;ININ;"Euronext Growth Oslo";NOK;3.08;3.11;3.00;3.04;"02/11/2023 15:38";CET;110234;337478.32;3.04;02/11/2023
INSTABANK;NO0010762792;INSTA;"Euronext Growth Oslo";NOK;1.605;1.70;1.605;1.68;"02/11/2023 15:59";CET;1771493;2992750.70;1.68;02/11/2023
"INTEGRATED WIND SO";NO0010955883;IWS;"Euronext Growth Oslo";NOK;40.00;40.00;40.00;40.00;"02/11/2023 14:54";CET;1600;64000.00;40.00;02/11/2023
"INTEROIL EXPL PROD";NO0010284318;IOX;"Oslo Børs";NOK;0.55;0.75;0.55;0.691;"02/11/2023 16:29";CET;7363960;4959646.34;0.691;02/11/2023
ITERA;NO0010001118;ITERA;"Oslo Børs";NOK;11.35;11.50;11.15;11.45;"02/11/2023 16:27";CET;39996;454153.80;11.45;02/11/2023
"JINHUI SHIPP TRANS";BMG5137R1088;JIN;"Oslo Børs";NOK;5.58;5.99;5.58;5.98;"02/11/2023 16:25";CET;78197;457356.57;5.98;02/11/2023
"JÆREN SPAREBANK";NO0010359433;JAREN;"Oslo Børs";NOK;242.00;242.00;242.00;242.00;"02/11/2023 15:14";CET;572;138424.00;242.00;02/11/2023
KAHOOT!;NO0010823131;KAHOT;"Oslo Børs";NOK;35.01;35.21;34.91;35.00;"02/11/2023 16:29";CET;285876;10006475.33;35.00;02/11/2023
KID;NO0010743545;KID;"Oslo Børs";NOK;90.00;90.50;87.00;90.50;"02/11/2023 16:27";CET;62130;5514747.20;90.50;02/11/2023
